,Name,Code,ICAO
687,DragonFly Executive,,CBM
688,Dreamline Aviation,,DLX
689,DRF Luftrettung,1I,AMB
690,Dronamics Europe Airlines,OY,DXE
691,Druk Air,KB,DRK
692,Dubai Air Wing,,DUB
693,Duke Energy Business Services,,GGW
694,E+S Air,,CAH
695,E-Aviation,,EFD
696,E-Cargo Airlines,RF,ERF
697,EADS CASA,,AED
698,Eagle Air,,EGE
699,Eagle Air,,EGU
700,Eagle Air Iceland,,FEI
701,Eagle Creek Aviation,,EGC
702,EagleMed,,EMD
703,East Coast Jets,,ECJ
704,East Wing,,EWZ
705,East-West Express,,EWU
706,Eastar Jet,ZE,ESR
707,Eastern Air Express,,BBQ
708,Eastern Airlines,,EAL
709,Eastern Airways,T3,EZE
710,Eastern Australia Airlines,,EAQ
711,Easy Charter,RD,LOL
712,easyJet,U2,EZY
713,easyJet Europe,EC,EJU
714,easyJet Switzerland,DS,EZS
715,EATIS,,SRK
716,Eclair Aviation,,ECC
717,ECO Airlines,,EKO
718,EcoJet,8J,ECO
719,Ecuador - Air Force,,FAE
720,Edelweiss Air,WK,EDW
721,EGT Jet,,EGT
722,Egypt - Air Force,,EGY
723,Egyptair,MS,MSR
724,Egyptair Cargo,,MSX
725,EJM Europe,,JME
726,El Al,LY,ELY
727,Elangeni,,ELG
728,Electra Airways,,EAF
729,Elemental Aviation,,MWH
730,Elifriulia,,EFG
731,Elilombarda,,EOA
732,Eliossola,,EOS
733,Elitaliana,,ELA
734,Elitavia,,EAV
735,Elitavia Malta,MA,EAU
736,Elite Air,,ELZ
737,Elite Airways,7Q,MNU
738,Elitellina,,FGS
739,Elthuraya Aviation,,FIB
740,Embraer,,EMB
741,Embry-Riddle Aeronautical University,,ERU
742,Emerald Airlines,EA,EAI
743,Emerald Airlines UK,,EAG
744,Emetebe,,EMT
745,Emirates,EK,UAE
746,Emirates Flight Training Academy,,EFC
747,Emperor Aviation,,EMM
748,Empire Airlines,EM,CFS
749,Empire Aviation,,MJE
750,Empresa Publica de Transporte Aereo Militar,,EPT
751,Empyreal Jet,,RLJ
752,ENAC Ecole Aviation Civile,,NAK
753,Encore Air Cargo,,DKT
754,Endeavor Air,9E,EDV
755,Enter Air,E4,ENT
756,Envoy,MQ,ENY
757,Epic Flight Academy,,EPI
758,Epsilon Aviation,,GRV
759,Era Helicopters,,ERH
760,Estafeta,E7,ESF
761,Estelar,ES,ETR
762,Estonia - Air Force,,EEF
763,Eswatini Air,RN,SZL
764,ETF Airways,LI,EZZ
765,Ethiopian Airlines,ET,ETH
766,Etihad Airways,EY,ETD
767,Euro Link,,EUL
768,Euro-Asia Air,5B,EAK
769,EuroAtlantic Airways,YU,MMZ
770,Eurocopter Deutschland,,RDF
771,European Air Charter,H6,BUC
772,European Air Transport,QY,BCS
773,European Cargo,SE,URO
774,European Flight Academy,,PTO
775,European Flight Service,,EUW
776,European Flyers,,FYS
777,European SAO,,EKT
778,Eurowings,EW,EWG
779,Eurowings Europe,E6,EWL
780,EVA Air,BR,EVA
781,Everts Air Alaska,5V,VTS
782,EWA Air,ZD,EWR
783,Excellent Air,,ECA
784,Exclusive Aviation,,REE
785,Execuflight,,EFT
786,Execujet Middle East,,EJO
787,Execujet Scandinavia,,VMP
788,Executive Airlink,,ENK
789,Executive Aviation Corporation,,SIY
790,Executive Jet Charter,,EXJ
791,Executive Jet Management,,EJM
792,Exploits Valley Air Services,8K,EVS
793,Express Air Cargo,7A,XRC
794,Express Freighters Australia,QE,EFA
795,Exxaero,,XRO
796,Eznis Airways,MG,EZA
797,Ezy Airlines,,EZT
798,FAI rent-a-jet,,IFA
799,Falcon Aviation Services,,FVS
800,Fanjet Express,7F,FJE
801,Farmingdale State University,,FDL
802,Fast Air,,PBR
803,Fastjet,FN,FJW
804,FedEx,FX,FDX
805,Fenix Air Charter,,FNX
806,Feuerwehr-Flugdienst Niedersachsen,,FFD
807,Fiji Airways,FJ,FJI
808,Fiji Link,,FJA
809,Finistair,,FTR
810,Finland - Air Force,,FNF
811,Finland - Border Guard,,FNG
812,Finnair,AY,FIN
813,FinnHEMS,,FIH
814,Firefly,FY,FFM
815,First Air,7F,FAB
816,First Nation Airways,,FRN
817,FitsAir,8D,EXV
818,Flair Airlines,F8,FLE
819,Fleet Air International,,FRF
820,Flexflight,W2,FXT
821,Flexjet,,LXJ
822,Flexjet Europe,,FLJ
823,Flexjet Operations Malta,,FJO
824,Flight Calibration Services,,FCK
825,Flight Calibration Services,,VOR
826,Flight Choice,,FCE
827,Flight Fast Track,,FTT
828,Flight options,,OPT
829,Flight Training Europe,,AYR
830,FlightExec,,FEX
831,Flightline,,FTL
832,Flightlink,YS,FLZ
833,Flightpath Charter Airways,,KNT
834,Flightworks,,FWK
835,Florida Air Cargo,,FAS
836,Florida Flyers Flight Academy,,FFY
837,Fltplan,,DCM
838,Flugfelag Islands,NY,FXI
839,Fly 7,,FSF
840,Fly Across,,ACW
841,Fly Air41,,BER
842,Fly AllWays,8W,EDR
