,icao24,firstSeen,estDepartureAirport,lastSeen,estArrivalAirport,callsign,estDepartureAirportHorizDistance,estDepartureAirportVertDistance,estArrivalAirportHorizDistance,estArrivalAirportVertDistance,departureAirportCandidatesCount,arrivalAirportCandidatesCount
4222,a2fe98,1714076277,,1714079753,NE42,N292TG  ,,,4345.0,398.0,0,11
4223,a55220,1714075680,KPIA,1714077444,KORD,AWI6013 ,1972.0,370.0,7875.0,229.0,0,5
4224,a552fd,1714077133,6GA1,1714077928,GA61,N442KS  ,5253.0,491.0,5709.0,608.0,5,36
4225,a54de0,1714080996,KEQY,1714081703,KUZA,N44060  ,4585.0,341.0,10087.0,498.0,4,10
4226,a57d5c,1714076160,KCNW,1714078719,5TX8,N453BB  ,4362.0,1975.0,19025.0,2094.0,3,3
4227,a65582,1714080508,,1714081966,II14,N507SA  ,,,8822.0,2235.0,0,18
4228,a71b08,1714079106,,1714081736,CA57,N557SM  ,,,15146.0,606.0,0,7
4229,a79420,1714075884,KROA,1714078788,KACY,N588FC  ,216.0,68.0,2548.0,30.0,1,8
4230,a6c28c,1714077201,KMQY,1714078678,7TN3,N53460  ,6836.0,253.0,6907.0,240.0,4,14
4231,a6c618,1714076931,,1714080081,KPWK,N5355S  ,,,3188.0,39.0,0,5
4232,a6bc92,1714080750,KX40,1714081438,FD29,N533LF  ,6494.0,381.0,5255.0,22.0,2,21
4233,aa2efb,1714076701,KVLL,1714080989,KVLL,N7550G  ,415.0,69.0,552.0,84.0,0,3
4234,aa410b,1714078791,1OI9,1714081961,KI17,N76VA   ,1139.0,64.0,2106.0,62.0,9,19
4235,aa422c,1714077594,KONT,1714078357,KSNA,N760GP  ,1362.0,1.0,722.0,81.0,2,2
4236,aa3b99,1714077843,03MA,1714079751,KBOS,N759BH  ,7402.0,533.0,8902.0,21.0,1,4
4237,ab56f3,1714079717,KPVU,1714081836,KPVU,N83KS   ,1248.0,122.0,97.0,31.0,1,4
4238,aad058,1714077855,KTOA,1714079226,KTOA,N796WW  ,207.0,31.0,1203.0,0.0,3,7
4239,aad333,1714075890,IA80,1714076838,KDBQ,N797NA  ,7954.0,188.0,630.0,61.0,0,7
4240,ac0b61,1714078952,,1714081071,KIAH,UAL1867 ,,,10402.0,1791.0,0,6
